fund_symbol,price_date,open,high,low,close,adj_close,volume
AADR,3/7/17,45.62,45.62,45.19,45.32,44.11,2500
AADR,3/8/17,45.3,45.3,44.57,44.73,43.54,13300
AADR,3/9/17,44.98,45.5,43.97,44.24,43.06,7700
AADR,3/10/17,44.92,44.92,44.68,44.8,43.61,8200
AADR,3/13/17,45,45.35,44.95,45.31,44.1,9100
AADR,3/14/17,45.25,45.25,44.89,44.89,43.69,4800
AADR,3/15/17,44.81,45.97,44.81,45.81,44.59,10800
AADR,3/16/17,46.24,46.4,46.05,46.17,44.94,39100
AADR,3/17/17,46.33,46.49,45.97,45.99,44.76,50000
AADR,3/20/17,46.8,46.8,46.09,46.47,45.23,15700
AADR,3/21/17,46.48,46.48,45.85,45.9,44.68,5700
AADR,3/22/17,46.09,46.09,45.67,46.03,44.8,60700
AADR,3/23/17,46.12,46.21,46.01,46.12,44.89,14200
AADR,3/24/17,46.33,46.7,46.28,46.6,45.36,12400
AADR,3/27/17,45.96,46.32,45.74,46.32,45.09,5800
AADR,3/28/17,46.33,46.51,46.3,46.48,45.24,4300
AADR,3/29/17,46.94,46.94,46.39,46.87,45.62,19400
AADR,3/30/17,47.04,47.04,46.5,46.73,45.48,28300
AADR,3/31/17,46.47,46.78,46.33,46.71,45.46,7400
AADR,4/3/17,46.75,46.75,46.46,46.7,45.45,5700
AADR,4/4/17,46.67,47.25,46.65,47.05,45.8,14800
AADR,4/5/17,47.2,47.2,46.62,46.62,45.38,105400
AADR,4/6/17,46.67,46.87,46.42,46.69,45.45,5500
AADR,4/7/17,46.78,46.83,46.32,46.6,45.36,9200
AADR,4/10/17,46.5,46.62,46.4,46.58,45.34,9300
AADR,4/11/17,46.77,46.77,45.98,46.3,45.07,29400
AADR,4/12/17,46.24,46.24,45.78,46.08,44.85,26700
AADR,4/13/17,46.06,46.06,45.76,45.76,44.54,12500
AADR,4/17/17,46.08,46.45,46.02,46.45,45.21,7200
AADR,4/18/17,46.39,46.39,46,46.13,44.9,5200
AADR,4/19/17,46.33,47.21,45.79,45.82,44.6,16100
AADR,4/20/17,46.15,46.32,46.15,46.31,45.08,6400
AADR,4/21/17,46.06,46.52,46.06,46.4,45.16,7300
AADR,4/24/17,47.62,47.85,46.6,47.31,46.05,17900
AADR,4/25/17,47.59,48.71,47.59,47.9,46.62,44300
AADR,4/26/17,47,50.03,47,47.5,46.23,37300
AADR,4/27/17,48.1,48.1,47,47.06,45.81,19200
AADR,4/28/17,47.12,47.34,47.05,47.34,46.08,23000
AADR,5/1/17,47.68,47.68,47.18,47.34,46.08,6100
AADR,5/2/17,47.48,47.84,47.43,47.84,46.56,17200
AADR,5/3/17,47.93,47.94,47.47,47.72,46.45,23900
AADR,5/4/17,48.2,48.2,47.13,47.37,46.11,20500
AADR,5/5/17,47.45,47.82,47.45,47.81,46.54,9000
AADR,5/8/17,47.83,47.83,47.58,47.8,46.53,8100
AADR,5/9/17,47.94,48.09,47.75,47.82,46.55,12200
AADR,5/10/17,47.92,48.49,47.92,48.49,47.2,42900
AADR,5/11/17,48.86,48.86,48.25,48.71,47.41,45700
AADR,5/12/17,48.9,48.94,48.78,48.84,47.54,34400
AADR,5/15/17,51.25,51.25,48.93,49.17,47.86,30600
AADR,5/16/17,49.61,49.83,49.42,49.8,48.47,68300
AADR,5/17/17,49.55,49.55,48.35,48.35,47.06,62600
AADR,5/18/17,47.8,49.2,45.99,46.33,45.09,46800
AADR,5/19/17,47.25,47.77,47.25,47.52,46.25,21100
AADR,5/22/17,48.4,48.4,46.99,47.32,46.06,21700
AADR,5/23/17,47.3,47.49,47.06,47.49,46.22,30700
AADR,5/24/17,47.19,47.89,47.19,47.58,46.31,24400
AADR,5/25/17,47.43,47.83,47.43,47.66,46.39,23800
AADR,5/26/17,47.69,49.25,47.69,48.01,46.73,20400
AADR,5/30/17,47.91,47.91,47.54,47.58,46.31,6400
AADR,5/31/17,47.83,47.83,47.38,47.46,46.19,14700
AADR,6/1/17,47.55,47.78,47.53,47.78,46.51,19700
AADR,6/2/17,47.89,48.06,47.87,48.03,46.75,26200
AADR,6/5/17,47.8,48.09,47.8,48.04,46.76,23100
AADR,6/6/17,48,48.11,47.87,47.95,46.67,22900
AADR,6/7/17,48.03,48.75,48.03,48.54,47.25,32700
AADR,6/8/17,48.52,48.52,47.62,48.03,46.75,19700
AADR,6/9/17,48.42,48.42,47.2,47.49,46.22,14800
AADR,6/12/17,47.18,47.18,46.78,46.99,45.74,10600
AADR,6/13/17,47.37,47.37,46.93,47.21,45.95,9900
AADR,6/14/17,47.49,47.49,46.59,46.65,45.41,4500
AADR,6/15/17,46.22,46.25,45.83,46.25,45.02,22700
AADR,6/16/17,46.57,46.72,46.38,46.72,45.47,6700
AADR,6/19/17,46.79,47.59,46.79,47.48,46.21,14100
AADR,6/20/17,47.34,47.34,46.68,46.7,45.45,16300
AADR,6/21/17,46,46.08,45.81,46.03,44.8,13400
AADR,6/22/17,46.13,46.39,45.87,46.33,45.09,9700
AADR,6/23/17,46.42,46.42,46.16,46.25,45.02,10300
AADR,6/26/17,46.11,46.32,46.11,46.2,45.26,3100
AADR,6/27/17,46.23,46.37,46.03,46.06,45.13,7300
AADR,6/28/17,46.31,46.7,46.29,46.7,45.75,6200
AADR,6/29/17,46.59,46.59,45.96,46.22,45.28,4300
AADR,6/30/17,46.5,46.7,46.27,46.7,45.75,4000
AADR,7/3/17,47.21,47.21,46.77,47.01,46.06,21000
AADR,7/5/17,46.95,47.18,46.91,47.12,46.17,4200
AADR,7/6/17,46.87,47.09,46.69,46.81,45.86,18100
AADR,7/7/17,46.97,47.03,46.54,47.03,46.08,4000
AADR,7/10/17,47.03,47.46,47.03,47.44,46.48,3700
AADR,7/11/17,47.39,47.59,47.04,47.47,46.51,31000
AADR,7/12/17,47.8,48.56,47.75,48.39,47.41,15700
AADR,7/13/17,48.55,48.55,47.73,48.38,47.4,25900
AADR,7/14/17,48.73,48.94,48.57,48.93,47.94,19400
AADR,7/17/17,48.79,49.14,48.78,48.92,47.93,13500
AADR,7/18/17,48.79,49.15,48.73,49.15,48.16,21400
AADR,7/19/17,49.09,49.28,48.92,49.27,48.27,17000
AADR,7/20/17,49.27,49.57,49.2,49.33,48.33,7000
AADR,7/21/17,49.36,49.45,49.07,49.45,48.45,13900
AADR,7/24/17,49.45,49.87,49.28,49.87,48.86,16600
AADR,7/25/17,49.72,49.72,49.07,49.51,48.51,32800
AADR,7/26/17,49.55,49.71,49.5,49.71,48.7,11600
AADR,7/27/17,49.76,49.87,48.72,49,48.01,37200
AADR,7/28/17,48.97,49.39,48.97,49.38,48.38,5700
AADR,7/31/17,49.47,49.59,49.3,49.42,48.42,39700
AADR,8/1/17,49.88,49.88,49.65,49.8,48.79,19300
AADR,8/2/17,49.8,49.8,49.16,49.63,48.63,17400
AADR,8/3/17,49.58,49.83,49.49,49.81,48.8,24300
AADR,8/4/17,49.91,50.08,49.76,49.99,48.98,8700
AADR,8/7/17,50.07,50.76,50.07,50.67,49.64,10400
AADR,8/8/17,50.72,50.79,50.25,50.25,49.23,14700
AADR,8/9/17,49.97,50.04,49.8,50.04,49.03,6800
AADR,8/10/17,49.79,49.79,48.87,48.98,47.99,13600
AADR,8/11/17,48.77,49.27,48.45,49.22,48.22,7800
AADR,8/14/17,49.64,50.9,49.27,50.9,49.87,5400
AADR,8/15/17,50.78,50.91,50.65,50.66,49.63,23100
AADR,8/16/17,50.94,51.77,50.94,51.33,50.29,66800
AADR,8/17/17,51.09,51.13,50.72,50.73,49.7,11300
